X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
-78.621234888488729,35.867456997886705,1059,498176,McDonald's # 13334,6213 FALLS OF NEUSE RD ,RALEIGH,NC,27609-3505,35.86745,-78.621232,19198780085
-78.836830409998328,35.748876102421526,1060,498181,Bojangles,1209 LAURA VILLAGE RD ,APEX,NC,27523-7140,35.748869,-78.836828,19193621416
-78.627002569166976,35.893048766798984,1061,498234,Kroger #303 Deli & Bakery ,7905 FALLS OF NEUSE RD ,RALEIGH,NC,27615-3312,35.893042,-78.627,19198475012
-78.757975897785172,35.824000820400776,1062,498237,"Atrium Cafe, The","500 SAS Campus Dr,  Bldg R ",CARY,NC,27513,35.823994,-78.757973,19195319380
-78.663311914279205,35.764464016325441,1063,498239,NC Seafood,1201 AGRICULTURE ST ,RALEIGH,NC,27603-2366,35.764457,-78.663309,19198334661
-78.650422926029918,35.730828662754007,1064,498291,Burger King #223,349 TRYON RD ,RALEIGH,NC,27603-3529,35.730822,-78.65042,19197725255
-78.720512800274065,35.784133022857617,1065,498309,Champions Bar & More,5563 WESTERN BLVD ,RALEIGH,NC,27606-1595,35.784126,-78.72051,111111111111111
-78.318586329282581,35.832295216854504,1066,498386,Milano's Pizza,186 WAKELON ST ,ZEBULON,NC,27597-2403,35.832288,-78.318584,19192694488
,,1067,495743,Sam And Wally's Eatery,2 Hanover Square,RALEIGH,NC,27601,,,19198297215
-78.64468665141294,35.781032900158557,1068,496180,Second Empire at Dodd-Hinsdale,330 HILLSBOROUGH ST ,RALEIGH,NC,27603-1726,35.781026,-78.644684,19198293663
-78.876575166732323,35.752463442674326,1069,496200,Daniels Restaurant & Catering,1430 W WILLIAMS ST ,APEX,NC,27523-9300,35.752456,-78.876572,19193031006
-78.769163762281508,35.829800123896121,1070,496297,McDonald's #2028,1805 N HARRISON AVE,CARY,NC,27513-3902,35.829793,-78.769161,19196771424
-78.689166036969681,35.799970765194708,1071,496298,Meredith College Dining Hall,3800 HILLSBOROUGH ST ,RALEIGH,NC,27607-5237,35.799964,-78.689163,19197608377
-78.660259959351038,35.789974375320583,1072,496311,Piccola Italia,423 WOODBURN RD,RALEIGH,NC,27605-1323,35.789967,-78.660257,19198336888
,,1073,496327,Subway,2808 1/2 Hillsborough St ,RALEIGH,NC,27607,,,19198347407
-78.705895673509374,35.801356262920159,1074,496338,The Capital Room,1520 BLUE RIDGE RD,RALEIGH,NC,27607-3906,35.801349,-78.705893,19198324100
-78.63776797278274,35.770790876752272,1075,496443,brb,118 E SOUTH ST,RALEIGH,NC,27601-2341,35.770784,-78.637765,19198368817
-78.70015323797881,35.665401424390261,1076,496446,Hardees,8000 FAYETTEVILLE RD ,RALEIGH,NC,27603-5634,35.665394,-78.700151,19197729503
-78.783547321115535,35.738686010700611,1077,496561,O'Charleys,101 ASHVILLE AVE ,CARY,NC,27511-6606,35.738679,-78.783545,19198519777
-78.6259756255578,35.814602077983132,1078,496628,Bali Hai,2414 Wake Forest Rd,RALEIGH,NC,27608-1710,35.814595,-78.625973,111111191982
-78.640331374765083,35.786801869870061,1079,496647,Dobbs Bldg. Snack Bar,430 N Salisbury St ,RALEIGH,NC,27603-5926,35.786795,-78.640329,19197335048
-78.703453585827646,35.826917047492728,1080,148CB5A0-8AAE-CB73-BE4088169D28E07A,Stromboli's ,3434 Edwards Mill  RD ,RALEIGH,NC,27609,35.82691,-78.703451,19197857075
-78.588777038125386,35.907195737458238,1081,152F8B6E-109B-1344-DAA0F6F85A55FC1A,ANDY'S BURGERS SHAKES & FRIES,1141 FALLS RIVER AVE ,RALEIGH,NC,27614,35.907189,-78.588774,111111111111111
-78.779815428729279,35.787121977964688,1082,156728CA-A515-DEFD-FCAC6AE09A96310B,CAFE 121,140 E CHATHAM ST ,CARY,NC,27511,35.787115,-78.779813,19194689884
-78.619931714313225,35.802916490888151,1083,496648,Dunkin Donuts #300454,1801 CAPITAL Blv,RALEIGH,NC,27604-2144,35.802909,-78.619929,19198759092
-78.634054750062859,35.779143869036361,1084,496653,4th Floor Cafe,310 NEW BERN AVE ,RALEIGH,NC,27601-1441,35.779137,-78.634052,19199775651
-78.613862745614682,35.805420476555248,1085,496658,Gateway Restaurant,2411 Crabtree Blv,RALEIGH,NC,27604,35.805413,-78.61386,19198323020
-78.57926508044261,35.848345372128847,1086,496787,Barbecue Lodge,4600 Capital Blv,RALEIGH,NC,27604-4478,35.848338,-78.579262,19198724755
-78.579672559609904,35.870926739100909,1087,496846,Burger King # 5460,6300 Capital Blv,RALEIGH,NC,27616-3048,35.87092,-78.57967,19197900757
-78.781423513215017,35.787149743403454,1088,496869,Ashworth Rexall Drug,105 W CHATHAM ST,CARY,NC,27511-3331,35.787143,-78.781421,19194671834
-78.613080324137101,35.838363527903581,1089,496884,BURGER KING #3768,4203 WAKE FOREST RD ,RALEIGH,NC,27609-6228,35.838356,-78.613078,19198723797
-78.620969809224761,35.827083575675054,1090,496895,Denny's Restaurant,3215 Wake Forest Rd ,RALEIGH,NC,27609-7446,35.827076,-78.620967,19198769556
-78.596154614458101,35.817286556655333,1091,496898,El Dorado Mexican Restaurant,2811 Brentwood Rd,RALEIGH,NC,27604-3225,35.817279,-78.596152,19198213735
-78.611595515023737,35.83833748728501,1092,496909,Hooters Of Raleigh,4206 Wake Forest RD ,RALEIGH,NC,27609-6229,35.83833,-78.611593,19198509882
,,1093,496926,Courtyard By Marriott,102 Edinburgh Dr ,CARY,NC,27511,,,19194819666
-78.78292153901846,35.759851919088312,1094,496990,Wendy's,1343 KILDAIRE FARM RD ,CARY,NC,27511-5525,35.759845,-78.782919,19194671407
-78.579904258875018,35.850308987755604,1095,497029,Wendy's #1341,4750 Capital Blv,RALEIGH,NC,27616-4417,35.850302,-78.579902,111111111111111
-78.315731542578249,35.833478291371478,1096,497065,Pizza Hut,151 WAKELON ST ,ZEBULON,NC,27597-2404,35.833471,-78.315729,19192696455
-78.318783935898068,35.833447653906539,1097,497078,Smithfield Chicken & Bar-B-Que,121 WAKELON ST ,ZEBULON,NC,27597-2404,35.833441,-78.318781,19192697009
-78.415897550812133,35.797722974534445,1098,497079,Southeastern Freewill Bapt.College Cafet,532 EAGLE ROCK RD ,WENDELL,NC,27591-9072,35.797716,-78.415895,19193657711
-78.682489536668925,35.898514147242778,1099,497085,Brigs,8111 CREEDMOOR RD ,RALEIGH,NC,27613-4389,35.898507,-78.682487,19198700994
-78.705807994548636,35.825559750252154,1100,497095,Char-Grill,3211 EDWARDS MILL RD ,RALEIGH,NC,27612-5367,35.825553,-78.705805,19197812945
-78.609960106846088,35.841960931151213,1101,497125,Kanki Japanese House Of Steaks,4500 Old Wake Forest RD ,RALEIGH,NC,27609-6235,35.841954,-78.609957,19198764157
-78.638948363771632,35.783221068365464,1102,498427,Legislative Bldg Cafeteria,16 W Jones St ,RALEIGH,NC,27601-1030,35.783214,-78.638946,19197336032
-78.644752564526641,35.804002062270001,1103,498476,Bloomsbury Bistro,509 W WHITAKER MILL RD ,RALEIGH,NC,27608-2400,35.803995,-78.64475,19198349011
-78.720512800274065,35.784133022857617,1104,498478,Teddy's New Yorker Pizza,5563 WESTERN BLVD,RALEIGH,NC,27606-1595,35.784126,-78.72051,19192339144
,,1105,498603,Wendy's #2134,7020 Us Hwy 64 E,KNIGHTDALE,NC,27545,,,19192660917
