OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
2141,3AD2A58F-97B8-AC12-F96F04F971A6A6FA,93.5,2015-02-23T00:00:00.000Z,,routine
2142,494674,93.5,2015-02-13T00:00:00.000Z,,routine
2143,496259,93.5,2015-01-23T00:00:00.000Z,,routine
2144,496633,92.5,2015-02-27T00:00:00.000Z,,routine
2145,500925,94,2015-02-25T00:00:00.000Z,,routine
2146,501500,94,2015-02-18T00:00:00.000Z,,routine
2147,501564,94,2015-01-21T00:00:00.000Z,,routine
2148,99A49A3F-DD6C-395A-8EBFCA1F7E4A6307,93,2015-03-04T00:00:00.000Z,,routine
2149,AB3AF8C1-3048-98E5-1A33D6763208E09C,94,2015-02-24T00:00:00.000Z,,routine
2150,AC499555-D8D4-D1C4-3E7296A4D108EE12,93,2015-03-02T00:00:00.000Z,,routine
2151,B2D84194-E375-84CE-2900B754AB4777C5,94,2015-02-10T00:00:00.000Z,,routine
2152,B804D17B-A842-6F51-84724A2134EF92AA,94,2015-02-16T00:00:00.000Z,,routine
2153,CC70493B-F5AC-085B-05E40A73D5E6EC67,93,2015-02-16T00:00:00.000Z,,routine
2154,D8A2DE84-F305-617E-21166B1B5708D573,93,2015-02-18T00:00:00.000Z,,routine
2155,D9714CE2-AEAF-20CD-BE9CA58899527EF2,94,2015-03-02T00:00:00.000Z,,routine
2156,FFB7749B-3048-98E7-0406109825927AB8,94,2015-03-02T00:00:00.000Z,,routine
2157,130627C8-98E5-6336-EEE66A3339962132,95,2015-02-09T00:00:00.000Z,,routine
2158,1AB3AA49-A640-EBDD-FBF0B2010DDDC52A,94.5,2015-01-20T00:00:00.000Z,,routine
2159,2433A9E0-C425-9878-8E5B8EE5BAABDEF4,94.5,2015-03-03T00:00:00.000Z,,routine
2160,496548,94.5,2015-01-16T00:00:00.000Z,,routine
2161,499739,95,2015-01-20T00:00:00.000Z,,routine
2162,501700,95,2015-02-20T00:00:00.000Z,,routine
2163,9F3C3070-3048-94EE-98DAF31665C590B2,95,2015-02-12T00:00:00.000Z,,routine
2164,AE4C6306-D57F-BD1C-CB9AD502F0D448B4,94.5,2015-02-13T00:00:00.000Z,,routine
2165,193677FB-AA9D-CFFE-E626122C5F6C331D,94.5,2015-01-26T00:00:00.000Z,,routine
2166,494818,95,2015-02-18T00:00:00.000Z,,routine
2167,496789,95,2015-02-10T00:00:00.000Z,,routine
2168,49CCB818-3048-94EE-989F432B0139E50F,94.5,2015-03-06T00:00:00.000Z,,routine
2169,500946,94.5,2015-01-20T00:00:00.000Z,,followup
2170,501895,95,2015-02-12T00:00:00.000Z,,routine
2171,528084,94.5,2015-02-18T00:00:00.000Z,,routine
2172,7AB18105-0B3E-BE80-A8D22BA70F3A8FFB,94.5,2015-02-13T00:00:00.000Z,,routine
2173,82A1C07D-E825-0282-DC1AB51E690FC4B3,94.5,2015-02-09T00:00:00.000Z,,followup
2174,9103E6CB-10BF-14FA-4C45BBD5AAF913B0,95,2015-03-02T00:00:00.000Z,,routine
2175,AD263D62-CEEA-3AD1-2314B45C01B1A8CA,94.5,2015-02-16T00:00:00.000Z,,routine
2176,AE489067-0030-DBAF-E931C9B5080750D5,95,2015-02-19T00:00:00.000Z,,routine
2177,AEDA725F-A0DD-1EBC-94ADC7C37C150CCF,94.5,2015-01-23T00:00:00.000Z,,routine
2178,B11D1262-16DD-AB5F-66C9138D7A197A2F,94.5,2015-02-16T00:00:00.000Z,,routine
2179,EAFCC9A7-9EAB-70E4-F17F337D27B0B668,95,2015-02-20T00:00:00.000Z,,routine
2180,EC453C6B-F30E-132C-7BD369D14CBB358E,95,2015-02-13T00:00:00.000Z,,routine
2181,1853491A-187D-1482-A40616E28D88F9E3,95,2015-03-06T00:00:00.000Z,,routine
2182,496884,94.5,2015-03-03T00:00:00.000Z,,routine
2183,6A7DE9BE-0957-9398-D8F55640F262228B,94.5,2015-02-28T00:00:00.000Z,,routine
2184,70F3DE35-F05B-4996-A9CD33D7B2451B27,94.5,2015-02-23T00:00:00.000Z,,routine
2185,85C6FFE6-928B-01E4-E21348A290CA46C8,94.5,2015-02-11T00:00:00.000Z,,routine
2186,B266D9C7-9E82-E34C-2FE9CC313E3B649F,95,2015-02-18T00:00:00.000Z,,routine
2187,C8B76CD4-10A1-1141-D091D84704B91010,94.5,2015-02-25T00:00:00.000Z,,routine
2188,D43A58B6-EAC4-5791-73643387029E2F85,94.5,2015-02-25T00:00:00.000Z,,routine
2189,D9D17525-3048-94EE-9849DBAE69720953,95,2015-02-09T00:00:00.000Z,,routine
2190,FD049803-15D3-8FA6-4C39C87F5C09EA15,95,2015-01-22T00:00:00.000Z,,followup
2191,FF696521-E183-F49C-7C38E33A16E49FA7,95,2015-02-13T00:00:00.000Z,,routine
2192,00365192-A8F6-87E1-4D85FECDC569C6AB,94.5,2015-02-11T00:00:00.000Z,,routine
2193,159E2AEF-686E-B827-2288D3C90428D3DC,94.5,2015-03-03T00:00:00.000Z,,routine
2194,4DF8DD4D-3048-98E5-1AA1F7F2F8DBB0F9,94.5,2015-02-12T00:00:00.000Z,,routine
2195,500187,95,2015-02-23T00:00:00.000Z,,routine
2196,500340,95,2015-02-13T00:00:00.000Z,,routine
2197,500452,94.5,2015-02-13T00:00:00.000Z,,routine
2198,501107,95,2015-02-20T00:00:00.000Z,,routine
2199,508804,95,2015-02-25T00:00:00.000Z,,routine
2200,722EE0DF-1363-62BF-ABFF114111448912,94.5,2015-01-20T00:00:00.000Z,,followup
2201,AD8A0054-A2BF-488C-46C8A63BEE780E44,94.5,2015-03-04T00:00:00.000Z,,routine
2202,AFDBE0BA-3048-98E5-1AA9909C5729B7BD,95,2015-02-12T00:00:00.000Z,,routine
2203,C087797D-DA81-F57A-C31EF3D8B21BF950,94.5,2015-02-11T00:00:00.000Z,,routine
2204,126909A7-120F-101B-F94F10A74EC8B093,95.5,2015-02-25T00:00:00.000Z,,routine
2205,1562A008-BC4E-14A7-13BA1A7822AB2960,96,2015-02-26T00:00:00.000Z,,routine
2206,226B237E-D739-68B9-F54CA41AB9EA7F4E,95.5,2015-02-10T00:00:00.000Z,,routine
2207,3B299066-F2A5-52E6-147D3BD90BA480D6,96,2015-01-16T00:00:00.000Z,,routine
2208,3CB8B5D8-1422-201B-1993D4CD0D132606,96,2015-02-16T00:00:00.000Z,,routine
2209,495826,96,2015-03-06T00:00:00.000Z,,routine
2210,497133,95.5,2015-02-12T00:00:00.000Z,,routine
2211,497764,96,2015-02-27T00:00:00.000Z,,routine
2212,498023,95.5,2015-03-02T00:00:00.000Z,,routine
2213,498076,95.5,2015-02-20T00:00:00.000Z,,routine
2214,0AAFCC59-CA38-9890-89731E940F61BA1F,96.5,2015-01-16T00:00:00.000Z,,routine
2215,0B4D3655-9183-E0D4-0A8CDF1A87CBBD98,97,2015-02-19T00:00:00.000Z,,routine
2216,4A2F7F4F-F86B-8A34-E0D1192B8D286697,95.5,2015-03-02T00:00:00.000Z,,routine
2217,B2B4576B-ECBE-A08F-269C6126EE4CBEAC,96,2015-02-16T00:00:00.000Z,,routine
2218,B35955CE-D04D-110F-5F09152A4C6326BD,96,2015-02-11T00:00:00.000Z,,routine
2219,C07D8266-92A3-8F8D-2F9D5BE26399B0A6,95.5,2015-03-03T00:00:00.000Z,,routine
2220,C449BEAC-E525-DBAD-A4CEA01CD4711AEC,95.5,2015-02-09T00:00:00.000Z,,routine
2221,EFE33C5F-0D40-DB64-DEBBFF4A4F33EE8C,95.5,2015-03-04T00:00:00.000Z,,routine
2222,23B35F51-D2BB-C01D-18F3EDE60D69640F,95.5,2015-02-18T00:00:00.000Z,,routine
2223,2F76AAA9-5056-A20B-FA61BD28714C355A,96,2015-03-06T00:00:00.000Z,,routine
2224,4897FC80-B9F8-1AB8-EC8EB737D319E394,96,2015-02-24T00:00:00.000Z,,routine
2225,494874,95.5,2015-02-11T00:00:00.000Z,,routine
2226,497243,95.5,2015-02-27T00:00:00.000Z,,routine
2227,98DA6FA5-B975-C2BB-4A9073EDF8BB0F94,96,2015-02-27T00:00:00.000Z,,routine
2228,9FFA682B-3048-9838-FC2B7D85A64F8C43,95.5,2015-01-16T00:00:00.000Z,,routine
2229,BB5870C2-9327-C9E4-102A24207826064D,96,2015-02-12T00:00:00.000Z,,routine
2230,DAA705F6-0C53-0CEA-DBC5F33D3CD19FC8,96,2015-02-20T00:00:00.000Z,,routine
2231,14B1B4C4-C4B1-DBC5-15A88FB360EE58B5,95.5,2015-02-11T00:00:00.000Z,,routine
2232,495560,95.5,2015-02-25T00:00:00.000Z,,routine
2233,496586,95.5,2015-02-12T00:00:00.000Z,,routine
2234,500338,95.5,2015-01-21T00:00:00.000Z,,routine
2235,500696,95.5,2015-01-21T00:00:00.000Z,,routine
2236,501479,96,2015-02-23T00:00:00.000Z,,routine
2237,501776,96,2015-02-12T00:00:00.000Z,,routine
